"id","name","description","compliance_control_ids/name","compliance_control_ids/description","compliance_control_ids/id","compliance_version_id/id"
"","","","8.2 User identification and related accounts for users and administrators are strictly managed throughout an account’s lifecycle.","<ul style=""margin-bottom: 0px;""><li>8.2.1 All users are assigned a unique ID before access to system components or cardholder data is allowed.&nbsp;</li><li>8.2.2 Group, shared, or generic accounts, or other shared authentication credentials are only used when necessary on an exception basis, and are managed as follows:
Account use is prevented unless needed for an exceptional circumstance.
Use is limited to the time needed for the exceptional circumstance.
Business justification for use is documented.
Use is explicitly approved by management. 
Individual user identity is confirmed before access to an account is granted.
Every action taken is attributable to an individual user.&nbsp;</li><li>8.2.3 Additional requirement for service providers only: Service providers with remote access to customer premises use unique authentication factors for each customer premises.&nbsp;</li><li>8.2.4 Addition, deletion, and modification of user IDs, authentication factors, and other identifier objects are managed as follows:
Authorized with the appropriate approval.
Implemented with only the privileges specified on the documented approval.</li><li>
8.2.5 Access for terminated users is immediately 
revoked.

<br></li><li>8.2.6 Inactive user accounts are removed or disabled within 90 days of inactivity.&nbsp;</li><li>8.2.7 Accounts used by third parties to access, support, or maintain system components via remote access are managed as follows:
Enabled only during the time period needed and disabled when not in use.
Use is monitored for unexpected activity.&nbsp;</li><li>8.2.8 If a user session has been idle for more than 15 minutes, the user is required to re-authenticate to re-activate the terminal or session.</li></ul>","__export__.compliance_control_174_bcc4edc9",""
"","","","8.3 Strong authentication for users and administrators is established and managed.","<ul style=""margin-bottom: 0px;""><li>8.3.1 All user access to system components for users and administrators is authenticated via at least one of the following authentication factors:
omething you know, such as a password or passphrase.
Something you have, such as a token device or smart card.
Something you are, such as a biometric element.&nbsp;</li><li>8.3.2 Strong cryptography is used to render all authentication factors unreadable during transmission and storage on all system 
components.&nbsp;</li><li>8.3.3 User identity is verified before modifying any authentication factor.&nbsp;</li><li>8.3.4 Invalid authentication attempts are limited by: 
Locking out the user ID after not more than 10 attempts.
Setting the lockout duration to a minimum of 30 minutes or until the user’s identity is confirmed.&nbsp;</li><li>8.3.5 If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they are set and reset for each user as follows: 
Set to a unique value for first-time use and upon reset.
Forced to be changed immediately after the first use.&nbsp;</li><li>8.3.6 If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they meet the following minimum level of complexity: 
A minimum length of 12 characters (or IF the system does not support 12 characters, a minimum length of eight characters).
Contain both numeric and alphabetic characters.&nbsp;</li><li>8.3.7 Individuals are not allowed to submit a new password/passphrase that is the same as any of the last four passwords/passphrases used.&nbsp;</li><li>8.3.8 Authentication policies and procedures are documented and communicated to all users including: 
Guidance on selecting strong authentication factors.
Guidance for how users should protect their authentication factors.
Instructions not to reuse previously used passwords/passphrases.
Instructions to change passwords/passphrases if there is any suspicion or knowledge that the password/passphrases have been compromised and how to report the incident.&nbsp;</li><li>8.3.9 If passwords/passphrases are used as the only authentication factor for user access (i.e., in any single-factor authentication implementation) then either:
Passwords/passphrases are changed at least once every 90 days, 
OR
The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly.</li><li>&nbsp;8.3.10 Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access to cardholder data (i.e., in any singlefactor authentication implementation), then guidance is provided to customer users including:
Guidance for customers to change their user passwords/passphrases periodically.
Guidance as to when, and under what circumstances, passwords/passphrases are to be changed.&nbsp;</li><li class=""oe-nested""><ul><li>8.3.10.1 Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access (i.e., in any single-factor authentication implementation) then either:
Passwords/passphrases are changed at least once every 90 days, 
OR
The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly.</li></ul></li><li>&nbsp;8.3.11 Where authentication factors such as physical or logical security tokens, smart cards, or certificates are used: 
Factors are assigned to an individual user and not shared among multiple users. 
Physical and/or logical controls ensure only the intended user can use that factor to gain access.</li></ul>","__export__.compliance_control_175_847772b7",""
"","","","8.4 Multi-factor authentication (MFA) is implemented to secure access into the CDE.","<ul style=""margin-bottom: 0px;""><li>8.4.1 MFA is implemented for all non-console access into the CDE for personnel with administrative access.&nbsp;</li><li>8.4.2 MFA is implemented for all access into the CDE.&nbsp;</li><li>8.4.3 MFA is implemented for all remote network access originating from outside the entity’s network that could access or impact the CDE as follows:
All remote access by all personnel, both users and administrators, originating from outside the entity’s network.
All remote access by third parties and vendors.</li></ul>","__export__.compliance_control_176_38358d51",""
"","","","8.5 Multi-factor authentication (MFA) systems are configured to prevent misuse.","<ul style=""margin-bottom: 0px;""><li>8.5.1 MFA systems are implemented as follows:
The MFA system is not susceptible to replay attacks.
MFA systems cannot be bypassed by any users, including administrative users unless specifically documented, and authorized by management on an exception basis, for a limited time period. 
At least two different types of authentication factors are used.
Success of all authentication factors is required before access is granted.</li></ul>","__export__.compliance_control_177_886d60b9",""
"","","","8.6 Use of application and system accounts and associated authentication factors is strictly managed.","<ul style=""margin-bottom: 0px;""><li>8.6.1 If accounts used by systems or applications can be used for interactive login, they are managed as follows: 
Interactive use is prevented unless needed for an exceptional circumstance.
Interactive use is limited to the time needed for the exceptional circumstance.
Business justification for interactive use is documented.
Interactive use is explicitly approved by management. 
Individual user identity is confirmed before access to account is granted.
Every action taken is attributable to an individual user.&nbsp;</li><li>8.6.2 Passwords/passphrases for any application and system accounts that can be used for interactive login are not hard coded in scripts, configuration/property files, or bespoke and custom source code.</li><li>8.6.3 Passwords/passphrases for any application and system accounts are protected against misuse as follows: 
Passwords/passphrases are changed periodically (at the frequency defined in the entity’s targeted risk analysis, which is performed 
according to all elements specified in Requirement 12.3.1) and upon suspicion or confirmation of compromise.
Passwords/passphrases are constructed with sufficient complexity appropriate for how frequently the entity changes the passwords/passphrases.</li></ul>","__export__.compliance_control_178_39842288",""
"__export__.compliance_control_objective_40_3d23de88","Requirement 9: Restrict Physical Access to Cardholder Data","<p style=""margin-bottom: 0px;"">Any physical access to cardholder data or systems that store, process, or transmit cardholder data provides the opportunity for individuals to access and/or remove systems or hardcopies containing cardholder data; therefore, physical access should be appropriately restricted. 
There are three different areas mentioned in Requirement 9:
1. Requirements that specifically refer to sensitive areas are intended to apply to those areas only.
2. Requirements that specifically refer to the cardholder data environment (CDE) are intended to apply to the entire CDE, including any sensitive areas residing within the CDE.
3. Requirements that specifically refer to the facility are referencing the types of controls that may be managed more broadly at the physical boundary of a business premise (such as a building) within which CDEs and sensitive areas reside. These controls often exist outside a CDE or sensitive area, for example a guard desk that identifies, badges, and logs visitors. The term “facility” is used to recognize that these controls may exist at different places within a facility, for instance, at building entry or at an internal entrance to a 
data center or office space.</p>","9.1 Processes and mechanisms for restricting physical access to cardholder data are defined and understood.","<ul style=""margin-bottom: 0px;""><li>9.1.1 All security policies and operational procedures that are identified in Requirement 9 are:
Documented.
Kept up to date.
In use.
Known to all affected parties.&nbsp;</li><li>9.1.2 Roles and responsibilities for performing activities in Requirement 9 are documented, assigned, and understood.</li></ul>","__export__.compliance_control_179_f53fbea9","__export__.compliance_version_3_d4327a3a"
"","","","9.2 Physical access controls manage entry into facilities and systems containing cardholder data.","<ul style=""margin-bottom: 0px;""><li>9.2.1 Appropriate facility entry controls are in place to restrict physical access to systems in the CDE.&nbsp;</li><li class=""oe-nested""><ul><li>9.2.1.1 Individual physical access to sensitive areas within the CDE is monitored with either video cameras or physical access control mechanisms (or both) as follows:
Entry and exit points to/from sensitive areas within the CDE are monitored. 
Monitoring devices or mechanisms are protected from tampering or disabling.
Collected data is reviewed and correlated with other entries.
Collected data is stored for at least three months, unless otherwise restricted by law.&nbsp;</li></ul></li><li>9.2.2 Physical and/or logical controls are implemented to restrict use of publicly accessible network jacks within the facility.&nbsp;</li><li>9.2.3 Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted.&nbsp;</li><li>9.2.4 Access to consoles in sensitive areas is restricted via locking when not in use.</li></ul>","__export__.compliance_control_180_8b17aa5a",""
"","","","9.3 Physical access for personnel and visitors is authorized and managed.","<ul style=""margin-bottom: 0px;""><li>9.3.1 Procedures are implemented for authorizing and managing physical access of personnel to the CDE, including:
Identifying personnel.
Managing changes to an individual’s physical access requirements.
Revoking or terminating personnel identification.
Limiting access to the identification process or system to authorized personnel.&nbsp;</li><li class=""oe-nested""><ul><li>9.3.1.1 Physical access to sensitive areas within the CDE for personnel is controlled as follows:
Access is authorized and based on individual job function.
Access is revoked immediately upon termination.
All physical access mechanisms, such as keys, access cards, etc., are returned or disabled upon termination.&nbsp;</li></ul></li><li>9.3.2 Procedures are implemented for authorizing and managing visitor access to the CDE, including:
Visitors are authorized before entering.
Visitors are escorted at all times.
Visitors are clearly identified and given a badge or other identification that expires.
Visitor badges or other identification visibly distinguishes visitors from personnel.&nbsp;</li><li>9.3.3 Visitor badges or identification are surrendered or deactivated before visitors leave the facility or at the date of expiration.&nbsp;</li><li>9.3.4 A visitor log is used to maintain a physical record of visitor activity within the facility and within sensitive areas, including: 
The visitor’s name and the organization represented.
The date and time of the visit.
The name of the personnel authorizing physical access. 
Retaining the log for at least three months, unless otherwise restricted by law.</li></ul>","__export__.compliance_control_181_518d2269",""
"","","","9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.","<ul style=""margin-bottom: 0px;""><li>9.4.1 All media with cardholder data is physically secured.&nbsp;</li><li class=""oe-nested""><ul><li>9.4.1.1 Offline media backups with cardholder data are stored in a secure location.&nbsp;</li><li>9.4.1.2 The security of the offline media backup location(s) with cardholder data is reviewed at least once every 12 months.&nbsp;</li></ul></li><li>9.4.2 All media with cardholder data is classified in accordance with the sensitivity of the data.&nbsp;</li><li>9.4.3 Media with cardholder data sent outside the facility is secured as follows:
Media sent outside the facility is logged.
Media is sent by secured courier or other delivery method that can be accurately tracked.
Offsite tracking logs include details about media location.&nbsp;</li><li>9.4.4 Management approves all media with cardholder data that is moved outside the facility (including when media is distributed to individuals).&nbsp;</li><li>9.4.5 Inventory logs of all electronic media with cardholder data are maintained.&nbsp;</li><li class=""oe-nested""><ul><li>9.4.5.1 Inventories of electronic media with cardholder data are conducted at least once every 12 months.&nbsp;</li></ul></li><li>9.4.6 Hard-copy materials with cardholder data are destroyed when no longer needed for business or legal reasons, as follows:
Materials are cross-cut shredded, incinerated, or pulped so that cardholder data cannot be reconstructed. 
Materials are stored in secure storage containers prior to destruction.&nbsp;</li><li>9.4.7 Electronic media with cardholder data is destroyed when no longer needed for business or legal reasons via one of the following: 
The electronic media is destroyed.
The cardholder data is rendered unrecoverable so that it cannot be reconstructed.</li></ul>","__export__.compliance_control_182_15e92122",""
"","","","9.5 Point-of-interaction (POI) devices are protected from tampering and unauthorized substitution.","<ul style=""margin-bottom: 0px;""><li>9.5.1 POI devices that capture payment card data via direct physical interaction with the payment card form factor are protected from tampering and unauthorized substitution, including the following:
Maintaining a list of POI devices. 
Periodically inspecting POI devices to look for tampering or unauthorized substitution. 
Training personnel to be aware of suspicious behavior and to report tampering or unauthorized substitution of devices.&nbsp;</li><li class=""oe-nested""><ul><li>9.5.1.1 An up-to-date list of POI devices is maintained, including:
Make and model of the device. 
Location of device. 
Device serial number or other methods of unique identification.&nbsp;</li><li>9.5.1.2 POI device surfaces are periodically inspected to detect tampering and unauthorized substitution.&nbsp;</li><li class=""oe-nested""><ul><li>9.5.1.2.1 The frequency of periodic POI device inspections and the type of inspections performed is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.&nbsp;</li></ul></li></ul></li></ul><ul><li class=""oe-nested""><ul><li>9.5.1.3 Training is provided for personnel in POI environments to be aware of attempted tampering or replacement of POI devices, and includes:
Verifying the identity of any third-party persons claiming to be repair or maintenance personnel, before granting them access to modify or troubleshoot devices.
Procedures to ensure devices are not installed, replaced, or returned without verification. 
Being aware of suspicious behavior around devices.
Reporting suspicious behavior and indications of device tampering or substitution to appropriate personnel.</li></ul></li></ul>","__export__.compliance_control_183_69a5e09c",""
"__export__.compliance_control_objective_41_ccb2f1bd","Requirement 10: Log and Monitor All Access to System Components and Cardholder Data","<p style=""margin-bottom: 0px;"">Logging mechanisms and the ability to track user activities are critical in preventing, detecting, or minimizing the impact of a data compromise. 
The presence of logs on all system components and in the cardholder data environment (CDE) allows thorough tracking, alerting, and analysis when something does go wrong. Determining the cause of a compromise is difficult, if not impossible, without system activity logs.
This requirement applies to user activities, including those by employees, contractors, consultants, and internal and external vendors, and other third parties (for example, those providing support or maintenance services). 
These requirements do not apply to user activity of consumers (cardholders).</p>","10.1 Processes and mechanisms for logging and monitoring all access to system components and cardholder data are defined and documented.","<ul style=""margin-bottom: 0px;""><li>10.1.1 All security policies and operational procedures that are identified in Requirement 10 are: 
Documented.
Kept up to date.
In use.
Known to all affected parties&nbsp;</li><li>10.1.2 Roles and responsibilities for performing activities in Requirement 10 are documented, assigned, and understood.</li></ul>","__export__.compliance_control_184_c9015716","__export__.compliance_version_3_d4327a3a"
"","","","10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","<ul style=""margin-bottom: 0px;""><li>10.2.1 Audit logs are enabled and active for all system components and cardholder data.&nbsp;</li><li class=""oe-nested""><ul><li>10.2.1.1 Audit logs capture all individual user access to cardholder data.&nbsp;</li><li>10.2.1.2 Audit logs capture all actions taken by any individual with administrative access, including any interactive use of application or system accounts.&nbsp;</li><li>10.2.1.3 Audit logs capture all access to audit logs.&nbsp;</li><li>10.2.1.4 Audit logs capture all invalid logical access attempts.&nbsp;</li><li>10.2.1.5 Audit logs capture all changes to identification and authentication credentialsincluding, but not limited to:
Creation of new accounts.
Elevation of privileges.
All changes, additions, or deletions to accounts with administrative access.&nbsp;</li><li>10.2.1.6 Audit logs capture the following: 
All initialization of new audit logs, and 
All starting, stopping, or pausing of the existing audit logs.&nbsp;</li><li>10.2.1.7 Audit logs capture all creation and deletion of system-level objects.&nbsp;</li></ul></li><li>10.2.2 Audit logs record the following details for each auditable event:
User identification.
Type of event.
Date and time.
Success and failure indication.
Origination of event.
Identity or name of affected data, system component, resource, or service (for example, name and protocol).</li></ul>","__export__.compliance_control_185_672c80ca",""
"","","","10.3 Audit logs are protected from destruction and unauthorized modifications.","<ul style=""margin-bottom: 0px;""><li>10.3.1 Read access to audit logs files is limited to those with a job-related need.&nbsp;</li><li>10.3.2 Audit log files are protected to prevent modifications by individuals.&nbsp;</li><li>10.3.3 Audit log files, including those for external facing technologies, are promptly backed up to a secure, central, internal log server(s) or other media that is difficult to modify.&nbsp;</li><li>10.3.4 File integrity monitoring or change-detection mechanisms is used on audit logs to ensure that existing log data cannot be changed without generating alerts.</li></ul>","__export__.compliance_control_186_f8365b52",""
"","","","10.4 Audit logs are reviewed to identify anomalies or suspicious activity.","<ul style=""margin-bottom: 0px;""><li>10.4.1 The following audit logs are reviewed at least once daily:
All security events. 
Logs of all system components that store, process, or transmit CHD and/or SAD.
Logs of all critical system components.
Logs of all servers and system components that perform security functions (for example, network security controls, intrusion-detection 
systems/intrusion-prevention systems (IDS/IPS), authentication servers).&nbsp;</li><li class=""oe-nested""><ul><li>10.4.1.1 Automated mechanisms are used to perform audit log reviews.&nbsp;</li></ul></li><li>10.4.2 Logs of all other system components (those not specified in Requirement 10.4.1) are reviewed periodically.&nbsp;</li><li class=""oe-nested""><ul><li>10.4.2.1 The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1&nbsp;</li></ul></li><li>10.4.3 Exceptions and anomalies identified during the review process are addressed.</li></ul>","__export__.compliance_control_187_0c59616c",""
"","","","10.5 Audit log history is retained and available for analysis.","<ul style=""margin-bottom: 0px;""><li>10.5.1 Retain audit log history for at least 12 months, with at least the most recent three months immediately available for analysis.</li></ul>","__export__.compliance_control_188_807c65ab",""
"","","","10.6 Time-synchronization mechanisms support consistent time settings across all systems.","<ul style=""margin-bottom: 0px;""><li>10.6.1 System clocks and time are synchronized using time-synchronization technology.&nbsp;</li><li>10.6.2 Systems are configured to the correct and consistent time as follows:
One or more designated time servers are in use.
Only the designated central time server(s) receives time from external sources.
Time received from external sources is based on International Atomic Time or Coordinated Universal Time (UTC).
The designated time server(s) accept time updates only from specific industry-accepted external sources.
Where there is more than one designated time server, the time servers peer with one another to keep accurate time.
Internal systems receive time information only from designated central time server(s).&nbsp;</li><li>10.6.3 Time synchronization settings and data are protected as follows: 
Access to time data is restricted to only personnel with a business need.
Any changes to time settings on critical systems are logged, monitored, and reviewed.</li></ul>","__export__.compliance_control_189_9daebdf1",""
"","","","10.7 Failures of critical security control systems are detected, reported, and responded to promptly.","<ul style=""margin-bottom: 0px;""><li>10.7.1 Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security control systems:
Network security controls.
IDS/IPS.
FIM.
Anti-malware solutions.
Physical access controls.
Logical access controls.
Audit logging mechanisms.
Segmentation controls (if used).&nbsp;</li><li>10.7.2 Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security control systems:
Network security controls.
IDS/IPS.
Change-detection mechanisms.
Anti-malware solutions.
Physical access controls.
Logical access controls.
Audit logging mechanisms.
Segmentation controls (if used).
Audit log review mechanisms.
Automated security testing tools (if used).&nbsp;</li><li>10.7.3 Failures of any critical security controls systems are responded to promptly, including but not limited to: 
Restoring security functions. 
Identifying and documenting the duration (date and time from start to end) of the security failure. 
Identifying and documenting the cause(s) of failure and documenting required remediation. 
Identifying and addressing any security issues that arose during the failure. 
Determining whether further actions are required as a result of the security failure. 
Implementing controls to prevent the cause of failure from reoccurring. 
Resuming monitoring of security controls.</li></ul>","__export__.compliance_control_190_69659053",""
"__export__.compliance_control_objective_42_06179dc1","Requirement 11: Test Security of Systems and Networks Regularly","<p style=""margin-bottom: 0px;"">Vulnerabilities are being discovered continually by malicious individuals and researchers, and being introduced by new software. System components, processes, and bespoke and custom software should be tested frequently to ensure security controls continue to reflect a changing environment.</p>","11.1 Processes and mechanisms for regularly testing security of systems and networks are defined and understood.","<ul style=""margin-bottom: 0px;""><li>11.1.1 All security policies and operational procedures that are identified in Requirement 11 are: 
Documented.
Kept up to date.
In use.
Known to all affected parties.&nbsp;</li><li>11.1.2 Roles and responsibilities for performing activities in Requirement 11 are documented, assigned, and understood.</li></ul>","__export__.compliance_control_191_05bf25d8","__export__.compliance_version_3_d4327a3a"
"","","","11.2 Wireless access points are identified and monitored, and unauthorized wireless access points are addressed.","<ul style=""margin-bottom: 0px;""><li>11.2.1 Authorized and unauthorized wireless access points are managed as follows:
The presence of wireless (Wi-Fi) access points is tested for, 
All authorized and unauthorized wireless access points are detected and identified, 
Testing, detection, and identification occurs at least once every three months. 
If automated monitoring is used, personnel are notified via generated alerts.&nbsp;</li><li>11.2.2 An inventory of authorized wireless access points is maintained, including a documented business justification.</li></ul>","__export__.compliance_control_192_37648e3e",""
"","","","11.3 External and internal vulnerabilities are regularly identified, prioritized, and addressed.","<ul style=""margin-bottom: 0px;""><li>11.3.1 Internal vulnerability scans are performed as follows: 
At least once every three months.
High-risk and critical vulnerabilities (per the entity’s vulnerability risk rankings defined at Requirement 6.3.1) are resolved.
Rescans are performed that confirm all highrisk and critical vulnerabilities (as noted above)have been resolved.
Scan tool is kept up to date with latest vulnerability information.
Scans are performed by qualified personnel and organizational independence of the tester exists.&nbsp;</li><li class=""oe-nested""><ul><li>11.3.1.1 All other applicable vulnerabilities (those not ranked as high-risk or critical per the entity’s vulnerability risk rankings defined at Requirement 6.3.1) are managed as follows: 
Addressed based on the risk defined in the entity’s targeted risk analysis, which is performed according to all elements specified 
in Requirement 12.3.1.
Rescans are conducted as needed.&nbsp;</li><li>11.3.1.2 Internal vulnerability scans are performed via authenticated scanning as follows:
Systems that are unable to accept credentials for authenticated scanning are documented.
Sufficient privileges are used for those systems that accept credentials for scanning. 
If accounts used for authenticated scanning can be used for interactive login, they are managed in accordance with Requirement 8.2.2.&nbsp;</li><li>11.3.1.3 Internal vulnerability scans are performed after any significant change as follows:
High-risk and critical vulnerabilities (per the entity’s vulnerability risk rankings defined at Requirement 6.3.1) are resolved.
Rescans are conducted as needed.
Scans are performed by qualified personnel and organizational independence of the tester exists (not required to be a QSA or ASV).&nbsp;</li></ul></li><li>11.3.2 External vulnerability scans are performed as follows:
At least once every three months.
By a PCI SSC Approved Scanning Vendor (ASV). 
Vulnerabilities are resolved and ASV Program Guide requirements for a passing scan are met.
Rescans are performed as needed to confirm that vulnerabilities are resolved per the ASV Program Guide requirements for a passing scan.&nbsp;</li><li class=""oe-nested""><ul><li>11.3.2.1 External vulnerability scans are performed after any significant change as follows:
Vulnerabilities that are scored 4.0 or higher by the CVSS are resolved.
Rescans are conducted as needed.
Scans are performed by qualified personnel and organizational independence of the tester exists (not required to be a QSA or ASV).</li></ul></li></ul>","__export__.compliance_control_193_17e68b70",""
"","","","11.4 External and internal penetration testing is regularly performed, and exploitable vulnerabilities and security weaknesses are corrected.","<ul style=""margin-bottom: 0px;""><li>11.4.1 A penetration testing methodology is defined, documented, and implemented by the entity, and includes: 
Industry-accepted penetration testing approaches.
Coverage for the entire CDE perimeter and critical systems. 
Testing from both inside and outside the network. 
Testing to validate any segmentation and scopereduction controls. 
Application-layer penetration testing to identify, at a minimum, the vulnerabilities listed in Requirement 6.2.4. 
Network-layer penetration tests that encompass all components that support network functions as well as operating systems. 
Review and consideration of threats and vulnerabilities experienced in the last 12 months. 
Documented approach to assessing and addressing the risk posed by exploitable vulnerabilities and security weaknesses found 
during penetration testing. 
Retention of penetration testing results and remediation activities results for at least 12 months.&nbsp;</li><li>11.4.2 Internal penetration testing is performed:
Per the entity’s defined methodology, 
At least once every 12 months 
After any significant infrastructure or application upgrade or change
By a qualified internal resource or qualified external third-party
Organizational independence of the tester exists (not required to be a QSA or ASV).&nbsp;</li><li>11.4.3 External penetration testing is performed: 
Per the entity’s defined methodology 
At least once every 12 months 
After any significant infrastructure or application upgrade or change
By a qualified internal resource or qualified external third party
Organizational independence of the tester exists (not required to be a QSA or ASV).&nbsp;</li><li>11.4.4 Exploitable vulnerabilities and security weaknesses found during penetration testing are corrected as follows:
In accordance with the entity’s assessment of the risk posed by the security issue as defined in Requirement 6.3.1.
Penetration testing is repeated to verify the corrections.&nbsp;</li><li>11.4.5 If segmentation is used to isolate the CDE from other networks, penetration tests are performed on segmentation controls as follows:
At least once every 12 months and after any changes to segmentation controls/methods 
Covering all segmentation controls/methods in use.
According to the entity’s defined penetration testing methodology.
Confirming that the segmentation controls/methods are operational and effective, and isolate the CDE from all out-of-scope 
systems.
Confirming effectiveness of any use of isolation to separate systems with differing security levels (see Requirement 2.2.3).
Performed by a qualified internal resource or qualified external third party.
Organizational independence of the tester exists (not required to be a QSA or ASV).&nbsp;</li><li>11.4.6 Additional requirement for service providers only: If segmentation is used to isolate the CDE from other networks, penetration tests are performed on segmentation controls as follows: 
At least once every six months and after any changes to segmentation controls/methods. 
Covering all segmentation controls/methods in use.
According to the entity’s defined penetration testing methodology.
Confirming that the segmentation controls/methods are operational and effective, and isolate the CDE from all out-of-scope 
systems.
Confirming effectiveness of any use of isolation to separate systems with differing security levels (see Requirement 2.2.3).
Performed by a qualified internal resource or qualified external third party.
Organizational independence of the tester exists (not required to be a QSA or ASV).&nbsp;</li><li>11.4.7 Additional requirement for multi-tenant service providers only: Multi-tenant service providers support their customers for external penetration testing per Requirement 11.4.3 and 11.4.4.</li></ul>","__export__.compliance_control_194_d5719c46",""
"","","","11.5 Network intrusions and unexpected file changes are detected and responded to.","<ul style=""margin-bottom: 0px;""><li>11.5.1 Intrusion-detection and/or intrusionprevention techniques are used to detect and/or prevent intrusions into the network as follows:
All traffic is monitored at the perimeter of the CDE. 
All traffic is monitored at critical points in the CDE. 
Personnel are alerted to suspected compromises. 
All intrusion-detection and prevention engines, baselines, and signatures are kept up to date.&nbsp;</li><li class=""oe-nested""><ul><li>11.5.1.1 Additional requirement for service providers only: Intrusion-detection and/or intrusion-prevention techniques detect, alert 
on/prevent, and address covert malware communication channels.&nbsp;</li></ul></li><li>11.5.2 A change-detection mechanism (for example, file integrity monitoring tools) is deployed as follows: To alert personnel to unauthorized modification (including changes, additions, and deletions) of critical files.
To perform critical file comparisons at least once weekly.</li></ul>","__export__.compliance_control_195_aaeba1f6",""
"","","","11.6 Unauthorized changes on payment pages are detected and responded to.","<ul style=""margin-bottom: 0px;""><li>11.6.1 A change- and tamper-detection mechanism is deployed as follows:
To alert personnel to unauthorized modification (including indicators of compromise, changes, additions, and deletions) to the HTTP headers and the contents of payment pages as received by the consumer browser.
The mechanism is configured to evaluate the received HTTP header and payment page. 
The mechanism functions are performed as follows:
    At least once every seven days 
OR
    Periodically (at the frequency defined in the entity’s targeted risk analysis, which is performed according to all elements specified in 
    Requirement 12.3.1).</li></ul>","__export__.compliance_control_196_8da2e954",""
"__export__.compliance_control_objective_44_54eb768a","Requirement 12: Support Information Security with Organizational Policies and Programs","<p style=""margin-bottom: 0px;"">The organization’s overall information security policy sets the tone for the whole entity and informs personnel what is expected of them. All personnel should be aware of the sensitivity of cardholder data and their responsibilities for protecting it. 
For the purposes of Requirement 12, “personnel” refers to full-time and part-time employees, temporary employees, contractors, and consultants with security responsibilities for protecting account data or that can impact the security of account data.</p>","12.1 A comprehensive information security policy that governs and provides direction for protection of the entity’s information assets is known and current.","<ul style=""margin-bottom: 0px;""><li>12.1.1 An overall information security policy is: 
Established.
Published.
Maintained.
Disseminated to all relevant personnel, as well as to relevant vendors and business partners.&nbsp;</li><li>12.1.2 The information security policy is:
Reviewed at least once every 12 months.
Updated as needed to reflect changes to business objectives or risks to the environment.&nbsp;</li><li>12.1.3 The security policy clearly defines information security roles and responsibilities for all personnel, and all personnel are aware of and acknowledge their information security responsibilities.&nbsp;</li><li>12.1.4 Responsibility for information security is formally assigned to a Chief Information Security Officer or other information security knowledgeable member of executive management. </li></ul>","__export__.compliance_control_197_c6117b8b","__export__.compliance_version_3_d4327a3a"
"","","","12.2 Acceptable use policies for end-user technologies are defined and implemented.","<ul style=""margin-bottom: 0px;""><li>12.2.1 Acceptable use policies for end-user technologies are documented and implemented, including:
Explicit approval by authorized parties.
Acceptable uses of the technology.
List of products approved by the company for employee use, including hardware and software.</li></ul>","__export__.compliance_control_198_40e929e3",""
